"COLLECTOR_SAMPLE_ID","COLLECTOR_STATION_NAME","YEAR","MONTH","DAY","LATITUDE","LONGITUDE","START_DEPTH","METHOD","DATA_VALUE","Date","median","mean","geomean","validn","sd","filtmean","cv"
241201,"P5",2003,1,16,44.93333,-66.84999,1,"Chl_a",0.30755,"2003-01-16",1.34657925367355,1.34795518219471,1.34772439573125,24,0.0254799568253684,1.34823562882163,0.0170260802801271
241217,"P5",2003,2,28,44.93333,-66.84999,1,"Chl_a",0.38566,"2003-02-28",1.86268091201782,1.87081992058527,1.86991328692788,21,0.0593788937561221,1.8824724209936,0.0259804040671026
257114,"MFD-SETNO032",2003,7,6,44.11966,-66.58466,5,"Chl_a",1.71789,"2003-07-06",0.304905325174332,0.306406237862327,0.306211697018873,22,0.0111620736995162,0.308263006806374,0.0320565618659511
257118,"MFD-SETNO033",2003,7,6,44.32966,-66.652,5,"Chl_a",3.58584,"2003-07-06",0.384558379650116,0.370235567583757,0.368255039630334,17,0.0385950706341648,0.379552851120631,0.0792645144903347
257122,"MFD-SETNO034",2003,7,6,44.29733,-66.6045,5,"Chl_a",1.56172,"2003-07-06",0.368627518415451,0.364781859375182,0.364187831931707,21,0.0210269995631233,0.36990074725712,0.0332378169081862
257126,"MFD-SETNO035",2003,7,6,44.43783,-66.442,5,"Chl_a",5.45672,"2003-07-06",0.393096372485161,0.395307896865739,0.394716970419646,18,0.0222869397823087,0.395370980724692,0.0489700462906056
257130,"MFD-SETNO036",2003,7,6,44.467,-66.54366,5,"Chl_a",5.56066,"2003-07-06",0.534781992435455,0.535208495333791,0.534391921131464,16,0.0305190510979823,0.538458475699792,0.0423277063866227
257134,"MFD-SETNO037",2003,7,6,44.52233,-66.33033,5,"Chl_a",6.652,"2003-07-06",0.609901905059814,0.609521816174189,0.609292772147994,18,0.0171638741256985,0.609901171177626,0.0224352871585134
257138,"MFD-SETNO038",2003,7,6,44.6055,-66.33483,5,"Chl_a",4.62522,"2003-07-06",0.57120281457901,0.565385493967268,0.564237145222733,18,0.0369214130453758,0.562248980998993,0.0533267136714543
257154,"MFD-SETNO043",2003,7,6,45.26083,-65.08933,5,"Chl_a",1.11056,"2003-07-06",1.08464097976685,1.08464097976685,1.08453996479172,2,0.020934171067967,1.08464097976685,0.019300553324536
