"COLLECTOR_SAMPLE_ID","COLLECTOR_STATION_NAME","YEAR","MONTH","DAY","LATITUDE","LONGITUDE","START_DEPTH","METHOD","DATA_VALUE","Date","median","mean","geomean","validn","sd","filtmean","cv","mad"
241201,"P5",2003,1,16,44.93333,-66.84999,1,"Chl_a",0.30755,"2003-01-16",0.351760238409042,0.353478848934174,0.353382641238647,8,0.0088387682368423,0.351335155112403,0.0197717155178835,0.00874019756019115
241217,"P5",2003,2,28,44.93333,-66.84999,1,"Chl_a",0.38566,"2003-02-28",0.41868731379509,0.415486489023481,0.41532505461031,7,0.0125291306960015,0.41220069428285,0.023977546437163,0.0151335571110249
257114,"MFD-SETNO032",2003,7,6,44.11966,-66.58466,5,"Chl_a",1.71789,"2003-07-06",0.785737454891205,0.784491717815399,0.784266226045865,9,0.0198884836900694,0.78856734931469,0.0212653793070369,0.0189363325238228
257118,"MFD-SETNO033",2003,7,6,44.32966,-66.652,5,"Chl_a",3.58584,"2003-07-06",1.11632436513901,1.13362767299016,1.12892494596748,6,0.114101015524839,1.09873518943787,0.07691959766759,0.111425450885296
257122,"MFD-SETNO034",2003,7,6,44.29733,-66.6045,5,"Chl_a",1.56172,"2003-07-06",1.15203630924225,1.17820744855063,1.17563142935307,7,0.08695529254453,1.14738537867864,0.0288199776394087,0.0383171653747559
257126,"MFD-SETNO035",2003,7,6,44.43783,-66.442,5,"Chl_a",5.45672,"2003-07-06",1.42594873905182,1.48883942763011,1.48382502350599,6,0.137955631841328,1.43838090896606,0.047633035219323,0.0509438024997711
257130,"MFD-SETNO036",2003,7,6,44.467,-66.54366,5,"Chl_a",5.56066,"2003-07-06",1.1185485124588,1.11287977298101,1.11269667543801,6,0.0219376594693271,1.12125842571259,0.00772690720445617,0.0117491245508194
257134,"MFD-SETNO037",2003,7,6,44.52233,-66.33033,5,"Chl_a",6.652,"2003-07-06",1.35346853733063,1.34958333628518,1.34900416444832,7,0.0426899551468338,1.34958333628518,0.0316319518765997,0.0580886813163757
257138,"MFD-SETNO038",2003,7,6,44.6055,-66.33483,5,"Chl_a",4.62522,"2003-07-06",1.11826342344284,1.12629876534144,1.12585325509267,6,0.0349721621768832,1.11414895057678,0.018430975956972,0.0337995220899582
263997,"MFD-SETNO061",2004,7,13,44.8613,-65.8537,5,"Chl_a",0.607,"2004-07-13",0.0736518725752831,0.0720071539282799,0.0719190564861633,5,0.00397518561197504,0.0720071539282799,0.0552054260599493,0.00480403891056776
241306,"P5",2004,11,16,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",0.636,"2004-11-16",0.728125035762787,0.719941207340785,0.71969718306356,7,0.0201993658987313,0.725002199411392,0.0228508481038538,0.0257872932314873
241376,"P5",2006,1,13,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",0.39,"2006-01-13",1.12954294681549,1.12066417081015,1.12026962409032,7,0.0318803245516828,1.13051019112269,0.0178078475664325,0.0179053215265274
241400,"P5",2006,5,17,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",1.407,"2006-05-17",1.36027860641479,1.36027860641479,1.35710320499517,2,0.131368017885788,1.36027860641479,0.0965743468038703,0.137720517253876
239725,"P5",2006,10,13,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",1.358,"2006-10-13",0.588611423969269,0.588611423969269,0.588248353303678,2,0.0292329698334591,0.588611423969269,0.0496642923379369,0.0306465743422508
321096,"MFD-SETNO075",2008,3,17,44.1173,-67.25131,5,"Chl_a_Holm-Hansen_sF",0.311,"2008-03-17",0.396434143185616,0.395403973758221,0.395391282892862,4,0.00365224390510951,0.395403973758221,0.00923674051728868,0.00260512097775936
321098,"MFD-SETNO076",2008,3,17,44.32801,-67.10483,6,"Chl_a_Holm-Hansen_sF",0.272,"2008-03-17",0.60446310043335,0.588339447975159,0.586661617972605,3,0.0536761554497174,0.588339447975159,0.0912333103524681,0.0409829301595688
