"COLLECTOR_SAMPLE_ID","COLLECTOR_STATION_NAME","YEAR","MONTH","DAY","LATITUDE","LONGITUDE","START_DEPTH","METHOD","Date","DATA_VALUE","chlorophyll_a","SatMedianChl","validn","SatSDChl","SatCVChl","spm","Rrs_443","Rrs_488","Rrs_547","Rrs_667","bandratio","sat_chla"
22161,"Prince 5",2011,9,12,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",2011-09-12,0.754,0.754,4.26676082611084,23,0.18419185562968,0.0309903591409267,0.432356774806976,0.000884000211954117,0.00283399969339371,0.00383000075817108,0.000380001991288736,0.739947554148009,3.05281192398085
22173,"Prince5",2011,11,18,44.93481,-66.85399,1,"Chl_a_Holm-Hansen_sF",2011-11-18,0.658,0.658,3.05587530136108,5,0.00412446434613876,0.000794845024913766,2.06097984313965,0.0045819990336895,0.00596600025892258,0.00724000111222267,0.00180999934673309,0.824033058344521,0.483814168582874
22183,"Prince 5",2012,1,16,44.93071,-66.84946,1,"Chl_a",2012-01-16,0.2946,0.2946,3.3456015586853,25,0.0354857748993562,0.00788268213799265,2.44174122810364,0.0043759997934103,0.00647399947047234,0.008092001080513,0.00214400142431259,0.80004925926949,0.441033800950204
239725,"P5",2006,10,13,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",2006-10-13,1.358,1.358,1.56401991844177,5,0.0898030147470318,0.0580801158326005,0.921815276145935,0.00681599974632263,0.00728400051593781,0.00699200108647346,0.000810000987257808,1.04176192564232,0.568013547878425
239870,"P5",2009,3,16,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",2009-03-16,0.415,0.415,2.76055908203125,17,0.0212147055820994,0.00653577513775034,1.84216618537903,0.0047839991748333,0.00741400197148323,0.00868400186300278,0.00161800161004066,0.853754074267275,0.492793263946882
239895,"P5",2009,8,17,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",2009-08-17,1.303,1.303,1.68462264537811,15,0.0367660221051905,0.017511082559625,0.153580039739609,0.00337800197303295,0.00348199903964996,0.00346400216221809,0.000135000795125961,1.00519540017271,3.79009714591016
240810,"P5",2009,11,18,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",2009-11-18,0.846,0.846,5.41030359268188,17,0.161920825547023,0.0252799896555682,1.27482187747955,0.00156399980187416,0.0036420002579689,0.00525800138711929,0.00111999921500683,0.692658671960573,1.21484512040031
240865,"Prince 5",2010,10,12,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",2010-10-12,1.03,1.03,2.87907981872559,20,0.0360828397532924,0.00905512278901265,0.936615794897079,0.00226500071585178,0.00469200126826763,0.00558900088071823,0.000823000445961952,0.839506267471669,1.0153580515424
240895,"Prince 5",2011,4,15,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",2011-04-15,0.462,0.462,4.97692775726318,23,0.0602316312112969,0.00850408656276898,2.35280871391296,0.00283199921250343,0.00555600225925446,0.00786799937486649,0.0020660012960434,0.706151842996141,0.627204497233215
241201,"P5",2003,1,16,44.93333,-66.84999,1,"Chl_a",2003-01-16,0.30755,0.30755,1.44645714759827,24,0.0269767694652303,0.0127407371241464,1.34657925367355,0.00532750133424997,0.00671500153839588,0.00624800100922585,0.00118300132453442,1.07474399067485,0.355270938185792
241217,"P5",2003,2,28,44.93333,-66.84999,1,"Chl_a",2003-02-28,0.38566,0.38566,2.30327200889587,21,0.0454123908393594,0.0146318566308743,1.86268091201782,0.00520800054073334,0.00783000141382217,0.00863800011575222,0.00163600221276283,0.906459980191875,0.414377337052752
241306,"P5",2004,11,16,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",2004-11-16,0.636,0.636,3.03594350814819,18,0.227614082879185,0.0571898271153822,1.34316170215607,0.00183400139212608,0.00382500141859055,0.00466899946331978,0.00118000060319901,0.819233638521533,0.754646856008527
241376,"P5",2006,1,13,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",2006-01-13,0.39,0.39,5.95350527763367,20,0.24704888419339,0.0351026559437101,1.49466150999069,0.000997001305222511,0.00387100130319595,0.00579000078141689,0.00131300184875727,0.668566628802538,1.12722681676507
241400,"P5",2006,5,17,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",2006-05-17,1.407,1.407,3.89902079105377,12,0.24317997454713,0.0621150003084783,0.914983481168747,0.00210600160062313,0.00393700040876865,0.00521400105208158,0.000804000534117222,0.755082396310006,1.36844804432951
257114,"MFD-SETNO032",2003,7,6,44.11966,-66.58466,5,"Chl_a",2003-07-06,1.71789,1.71789,0.811564892530441,22,0.00938932015508583,0.00736943905134665,0.304905325174332,0.00356100033968687,0.00407900102436543,0.00300700031220913,0.000268000178039074,1.35650169632631,0.796348023200239
257118,"MFD-SETNO033",2003,7,6,44.32966,-66.652,5,"Chl_a",2003-07-06,3.58584,3.58584,1.25973558425903,17,0.0335130734640148,0.0235435804485708,0.384558379650116,0.00310400128364563,0.00355200096964836,0.00315200164914131,0.000337999314069748,1.12690327132793,1.08792115238865
257122,"MFD-SETNO034",2003,7,6,44.29733,-66.6045,5,"Chl_a",2003-07-06,1.56172,1.56172,1.30697894096375,21,0.0252990472989109,0.0145875317912031,0.368627518415451,0.00293100066483021,0.00347800180315971,0.00310800038278103,0.000323999702231959,1.11904806139297,1.15833824295669
257126,"MFD-SETNO035",2003,7,6,44.43783,-66.442,5,"Chl_a",2003-07-06,5.45672,5.45672,1.73940908908844,18,0.0507849174523117,0.0216759506083286,0.393096372485161,0.00267700105905533,0.00296400114893913,0.00292699970304966,0.00034550204873085,1.01264142454504,1.44689144821773
