"Intercept","Slope","Rsquared","pvalue","num_obs","RMSE","MAE","RAE","RMSLE"
-0.0041,1.2588,0.0169,NA,34,2.2197,1.49190356521733,1.5015605355435,0.5661
0.1783,0.7514,0.1309,NA,34,2.3982,1.58815353488422,1.03257821445958,0.4693
-0.1167,0.8914,0.0011,NA,34,1.8941,1.37077818036659,1.20298387934102,0.5095
-0.1401,1.1722,0.1124,NA,34,1.4644,1.05941560895153,0.958304663919119,0.5025
0.0112,1.1093,0.0694,NA,34,2.0697,1.3744259652071,1.14108256227842,0.4849
0.0108,0.8834,0.0297,NA,34,2.1958,1.54860467506642,1.12469174626383,0.4947
0.0871,-1.2865,1e-04,NA,34,2.3029,1.61419765283338,1.85505834416468,0.5854
0.0357,-0.9943,4e-04,NA,34,1.7512,1.39415039895113,1.3939925508248,0.545
-0.1702,0.9453,0.0023,NA,34,2.3665,1.72157767928313,1.29702017705648,0.5445
0.0651,-1.0291,0.003,NA,34,1.6381,1.29770169576533,1.3880853340217,0.5298
-0.0699,1.1245,0.0011,NA,35,1.8891,1.38960608138902,1.38429668663739,0.5186
0.0393,0.7621,0.0027,NA,35,1.5299,1.11317542696922,1.1202637424435,0.4941
-0.0946,-1.1484,0.0066,NA,35,2.0563,1.48779194258083,1.61923408986097,0.5856
0.1103,-1.0554,0.0019,NA,35,2.3918,1.69553553557317,1.55714028683009,0.5416
0.039,0.8988,0.0181,NA,35,1.5196,1.18186478833434,1.25600082183326,0.4807
0.0023,-0.904,0.0183,NA,35,1.6349,1.36235876891672,1.4084368558697,0.5842
-9e-04,-1.0005,2e-04,NA,35,1.7272,1.36919969378307,1.61939305858284,0.5304
-0.0075,0.7683,0.0193,NA,35,2.0628,1.30833239645348,1.04457136039641,0.4717
0.125,1.1728,0.048,NA,35,1.7969,1.35005949497731,1.52424887740024,0.4885
0.1559,0.6856,0.0106,NA,35,2.2787,1.58873592551194,1.1310168064296,0.546
0.0508,0.9277,0.0375,NA,35,1.979,1.34185252996521,1.21171634871838,0.4661
-0.3548,1.0891,0.0023,NA,35,1.9024,1.42775384784047,1.47546305275808,0.6321
0.0351,-0.8429,3e-04,NA,35,1.9551,1.47830617377878,1.39101351461713,0.5537
0.0848,0.7608,0.0168,NA,35,2.0701,1.50035871782641,1.01483839332885,0.518
0.1122,1.0181,0.0268,NA,35,1.9167,1.23584857189121,1.41022128349006,0.5216
-0.108,1.1336,0.1083,NA,35,2.4525,1.58165915053419,1.03521487209345,0.5432
0.0353,0.757,0.102,NA,35,2.6393,1.67284184314418,0.847770311485311,0.49
-0.065,0.9205,0.0371,NA,35,1.7178,1.19210302767501,1.02338536782298,0.5281
0.0343,1.0514,0.0428,NA,35,1.8256,1.28854561266706,1.36357027443649,0.4878
0.0609,1.0341,0.0397,NA,35,2.1766,1.5068975644448,1.26377753223686,0.5448
0.0252,0.72,0.0345,NA,35,2.0574,1.4812381051635,0.953383067666771,0.5265
0.0019,1.0457,0.0227,NA,35,2.1916,1.52019033455114,1.40457141172831,0.5043
-0.0192,0.8261,0.0342,NA,35,2.0588,1.31177989344774,0.988634812359962,0.4858
0.0422,-1.0262,0.011,NA,35,2.0564,1.36519678588384,1.65966487722597,0.5363
0.0416,-1.1192,0.0267,NA,35,2.2245,1.67864049483514,1.45702205177285,0.609
-0.0571,1.2102,6e-04,NA,35,1.2701,1.00987686483004,1.37568320446647,0.48
0.0639,0.978,0.0048,NA,35,1.4328,1.17506849653899,1.41261778399825,0.5139
-0.0872,1.1556,0.0121,NA,35,1.586,1.17701158100136,1.22221697144194,0.4787
-0.1056,-1.0703,1e-04,NA,35,1.5559,1.24098811252185,1.25728660361484,0.5801
-0.0624,1.0465,0.0819,NA,35,2.2333,1.41575370267491,1.23455998277543,0.4575
0.0067,-1.0767,0.0036,NA,35,1.9052,1.31384860367383,1.70666088734025,0.5269
0.0573,-1.2112,3e-04,NA,35,1.8554,1.4634745932081,1.78330509215573,0.5516
0.059,1.4678,0.1543,NA,35,2.3174,1.4480279097483,1.68614306326154,0.4688
0.0145,0.944,0.0086,NA,35,1.6886,1.31012630468044,1.4344658441899,0.5078
-0.0209,0.9128,0.0095,NA,35,2.0386,1.46887631280077,1.2391312832421,0.5014
0.197,-0.8332,1e-04,NA,35,2.0446,1.44751109316016,1.71218214268275,0.4984
-0.1469,1.1187,0.0143,NA,35,1.6945,1.17551940518595,1.27014626492442,0.4896
0.2563,1.1531,0.018,NA,35,3.1644,2.12964234979687,2.19294609621689,0.6028
0.1026,0.7748,0.0105,NA,35,2.1658,1.38980015542243,1.1221211798733,0.5132
-0.0533,-1.3692,1e-04,NA,35,1.4131,1.14255680736204,1.73431203772117,0.5419
