Filter,SampleID,FilterWtmg,FilterSamplewtmg,SampleWeightmg,Vol.Filtered.ml,SPM,YEAR,MONTH,DAY,Time.UTC,STATION,CRUISE,LATITUDE,LONGITUDE,Depth,Confidence
17655,322763,55.79,67.777,12.857,1000,12.857,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17658,322764,62.77,76.347,14.447,1000,14.447,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17659,322765,62.92,76.767,14.717,1000,14.717,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17656,322766,59.81,73.954,15.014,1000,15.014,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17657,322767,62.02,76.113,14.963,1000,14.963,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17661,322768,60.84,78.995,19.025,1000,19.025,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17663,322769,62.2,78.506,17.176,1000,17.176,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17662,322770,59.12,76.153,17.903,1000,17.903,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17664,322771,60.14,76.393,17.123,1000,17.123,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17665,322772,56.11,71.849,16.609,1000,16.609,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17666,322773,59.84,77.25,18.28,1000,18.28,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17667,322774,61.96,79.184,18.094,1000,18.094,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17668,322775,63.21,78.328,15.988,1000,15.988,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17669,322776,62.77,82.626,20.726,1000,20.726,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17671,322777,56.12,73.253,18.003,1000,18.003,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17672,322778,63.33,78.416,15.956,1000,15.956,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17673,322779,61.17,72.886,12.586,1000,12.586,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17674,322780,62.79,80.916,18.996,1000,18.996,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17675,322781,58.18,72.747,15.437,1000,15.437,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17676,322782,59.14,70.916,12.646,1000,12.646,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17677,322783,59.49,71.578,12.958,1000,12.958,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
17679,322784,56.48,68.751,13.141,1000,13.141,2011,3,14,NA,A5,BCD2011920,45.239567,-64.25935,NA,Medium
