COLLECTOR_SAMPLE_ID,COLLECTOR_STATION_NAME,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,START_DEPTH,METHOD,DATA_VALUE,Date
NA,VIC-1,2006,8,22,46.1558,-63.5385,NA,NUS,1.391428571,8/22/2006
NA,VIC-2,2006,8,22,46.1765,-63.6027,NA,NUS,1.12,8/22/2006
NA,CAR-1,2006,8,22,45.7522,-62.6083,NA,NUS,1.28,8/22/2006
NA,CAR-2,2006,8,22,45.8197,-62.6368,NA,NUS,1.24,8/22/2006
NA,PUG-1,2006,8,22,45.9392,-63.6879,NA,NUS,1.56,8/22/2006
NA,PUG-2,2006,8,22,46.0382,-63.5865,NA,NUS,1.58,8/22/2006
NA,CJ-1,2006,8,22,45.8284,-63.114,NA,NUS,1.26,8/22/2006
NA,CJ-2,2006,8,22,45.8572,-63.1173,NA,NUS,1.7,8/22/2006
NA,CJ-3,2006,8,22,45.8949,-63.1481,NA,NUS,0.74,8/22/2006
NA,EB-1,2006,8,22,46.4923,-64.1909,NA,NUS,1.74,8/22/2006
NA,CAP-1,2006,8,22,46.2719,-64.2808,NA,NUS,2.42,8/22/2006
NA,CAP-2,2006,8,22,46.3435,-64.2479,NA,NUS,2.04,8/22/2006
NA,CT-1,2006,8,22,46.1723,-63.7826,NA,NUS,1.44,8/22/2006
NA,CT-2,2006,8,22,46.1845,-63.7564,NA,NUS,1.26,8/22/2006
NA,RICH-1,2006,8,22,46.7249,-64.7661,NA,NUS,1.92,8/22/2006
NA,RICH-2,2006,8,22,46.7591,-64.7151,NA,NUS,1.7,8/22/2006
NA,WI-1,2006,8,24,45.9416,-62.7316,NA,NUS,1.42,8/24/2006
NA,WI-2,2006,8,24,45.9228,-62.7782,NA,NUS,6.2,8/24/2006
NA,WI-3,2006,8,24,45.8828,-62.7218,NA,NUS,1.24,8/24/2006
NA,HB-1,2006,8,28,46.049,-63.1399,NA,NUS,1.28,8/28/2006
NA,HB-2,2006,8,28,45.9784,-63.1429,NA,NUS,1.48,8/28/2006
NA,MC-1,2006,8,22,46.204,-63.9583,NA,NUS,1.42,8/22/2006
NA,MC-2,2006,8,22,46.2408,-63.9307,NA,NUS,1.16,8/22/2006
NA,SUM-1,2006,8,22,46.3317,-63.9085,NA,NUS,1.5,8/22/2006
NA,SUM-2,2006,8,22,46.3027,-63.9238,NA,NUS,1.48,8/22/2006
NA,VIC-1,2006,9,5,46.1558,-63.5385,NA,NUS,1.4,9/5/2006
NA,VIC-2,2006,9,5,46.1765,-63.6027,NA,NUS,1.62,9/5/2006
NA,CAR-1,2006,9,5,45.7522,-62.6083,NA,NUS,2.38,9/5/2006
NA,CAR-2,2006,9,5,45.8197,-62.6368,NA,NUS,1.74,9/5/2006
NA,PUG-1,2006,9,6,45.9392,-63.6879,NA,NUS,1.68,9/6/2006
NA,PUG-2,2006,9,6,46.0382,-63.5865,NA,NUS,2.08,9/6/2006
NA,CJ-1,2006,9,5,45.8284,-63.114,NA,NUS,2.32,9/5/2006
NA,CJ-2,2006,9,5,45.8572,-63.1173,NA,NUS,2.26,9/5/2006
NA,CJ-3,2006,9,5,45.8949,-63.1481,NA,NUS,1.66,9/5/2006
NA,EB-1,2006,9,5,46.4923,-64.1909,NA,NUS,2.08,9/5/2006
NA,CAP-1,2006,9,5,46.2719,-64.2808,NA,NUS,1.48,9/5/2006
NA,CAP-2,2006,9,5,46.3435,-64.2479,NA,NUS,1.5,9/5/2006
NA,CT-1,2006,9,5,46.1723,-63.7826,NA,NUS,1.16,9/5/2006
