"COLLECTOR_SAMPLE_ID","COLLECTOR_STATION_NAME","YEAR","MONTH","DAY","LATITUDE","LONGITUDE","START_DEPTH","METHOD","DATA_VALUE","Date"
"046317","P5","2002","1","3",44.93333,-66.84999,1,"Chl_a",0.294,2002-01-03
"046325","P5","2002","1","15",44.93333,-66.84999,1,"Chl_a",0.424,2002-01-15
"046333","P5","2002","1","29",44.93333,-66.84999,1,"Chl_a",0.404,2002-01-29
"046341","P5","2002","2","13",44.93333,-66.84999,1,"Chl_a",0.367,2002-02-13
"046349","P5","2002","2","26",44.93333,-66.84999,1,"Chl_a",0.557,2002-02-26
"046357","P5","2002","3","13",44.93333,-66.84999,1,"Chl_a",0.367,2002-03-13
"046362","P5","2002","4","15",44.93333,-66.84999,1,"Chl_a",2.234,2002-04-15
"046370","P5","2002","5","2",44.93333,-66.84999,1,"Chl_a",0.398,2002-05-02
"046378","P5","2002","5","17",44.93333,-66.84999,1,"Chl_a",1.283,2002-05-17
"046386","P5","2002","5","30",44.93333,-66.84999,1,"Chl_a",1.818,2002-05-30
"022118","P5","2002","6","14",44.93333,-66.84999,1,"Chl_a",5.103,2002-06-14
"029137","P5","2002","6","28",44.93333,-66.84999,1,"Chl_a",2.533,2002-06-28
"258244","MFD-SETNO063","2002","7","9",43.53206,-67.37525,5,"Chl_a",0.606,2002-07-09
"258252","MFD-SETNO065","2002","7","9",43.8485,-66.41185,5,"Chl_a",1.354,2002-07-09
"258256","MFD-SETNO067","2002","7","9",43.99303,-66.41845,5,"Chl_a",1.069,2002-07-09
"258248","MFD-SETNO064","2002","7","9",43.7855,-66.912,6,"Chl_a",1.319,2002-07-09
"258260","MFD-SETNO068","2002","7","10",44.11676,-66.67911,5,"Chl_a",2.691,2002-07-10
"258264","MFD-SETNO069","2002","7","10",44.1603,-66.75836,5,"Chl_a",2.37,2002-07-10
"258268","MFD-SETNO070","2002","7","10",44.51473,-66.39111,5,"Chl_a",1.39,2002-07-10
"258272","MFD-SETNO071","2002","7","10",44.77056,-66.14136,5,"Chl_a",2.814,2002-07-10
"258276","MFD-SETNO072","2002","7","10",44.66223,-65.93938,5,"Chl_a",1.604,2002-07-10
"258279","MFD-SETNO073","2002","7","10",44.8335,-65.548,5,"Chl_a",2.228,2002-07-10
"258283","MFD-SETNO074","2002","7","10",45.106,-65.17305,5,"Chl_a",2.584,2002-07-10
"258287","MFD-SETNO075","2002","7","10",45.24611,-65.23355,5,"Chl_a",1.782,2002-07-10
"258291","MFD-SETNO076","2002","7","10",45.16275,-65.58815,5,"Chl_a",1.604,2002-07-10
"258294","MFD-SETNO077","2002","7","10",45.17486,-65.814,5,"Chl_a",2.032,2002-07-10
"258298","MFD-SETNO078","2002","7","10",45.05048,-65.56945,5,"Chl_a",3.152,2002-07-10
"258302","MFD-SETNO079","2002","7","11",45.06601,-66.11813,5,"Chl_a",4.165,2002-07-11
"258306","MFD-SETNO080","2002","7","11",45.05488,-66.4165,5,"Chl_a",2.139,2002-07-11
"258310","MFD-SETNO081","2002","7","11",44.93881,-66.70646,5,"Chl_a",1.087,2002-07-11
"258314","MFD-SETNO082","2002","7","11",44.74716,-66.68111,5,"Chl_a",1.943,2002-07-11
"258318","MFD-SETNO083","2002","7","11",44.57536,-66.49925,5,"Chl_a",2.085,2002-07-11
"258322","MFD-SETNO084","2002","7","11",44.31908,-66.96641,5,"Chl_a",3.94,2002-07-11
"258326","MFD-SETNO085","2002","7","11",44.00716,-67.15793,5,"Chl_a",2.814,2002-07-11
"234601","P5","2002","7","18",44.93333,-66.84999,1,"Chl_a",3.152,2002-07-18
"234609","P5","2002","8","16",44.93333,-66.84999,1,"Chl_a",4.84,2002-08-16
"234625","P5","2002","9","16",44.93333,-66.84999,1,"Chl_a",2.851,2002-09-16
"234633","P5","2002","9","30",44.93333,-66.84999,1,"Chl_a",4.84,2002-09-30
"234641","P5","2002","10","18",44.93333,-66.84999,1,"Chl_a",1.925,2002-10-18
"234649","P5","2002","11","1",44.93333,-66.84999,1,"Chl_a",1.857,2002-11-01
"234657","P5","2002","11","28",44.93333,-66.84999,1,"Chl_a",0.738,2002-11-28
"234665","P5","2002","12","13",44.93333,-66.84999,1,"Chl_a",0.76,2002-12-13
"234673","P5","2002","12","31",44.93333,-66.84999,1,"Chl_a",0.417,2002-12-31
"241201","P5","2003","1","16",44.93333,-66.84999,1,"Chl_a",0.30755,2003-01-16
"241209","P5","2003","2","14",44.93333,-66.84999,1,"Chl_a",0.27337,2003-02-14
"241217","P5","2003","2","28",44.93333,-66.84999,1,"Chl_a",0.38566,2003-02-28
"241225","P5","2003","3","14",44.93333,-66.84999,1,"Chl_a",0.40518,2003-03-14
"241233","P5","2003","3","31",44.93333,-66.84999,1,"Chl_a",0.36125,2003-03-31
"241241","P5","2003","5","1",44.93333,-66.84999,1,"Chl_a",0.50445,2003-05-01
"241249","P5","2003","5","15",44.93333,-66.84999,1,"Chl_a",1.04115,2003-05-15
"241254","P5","2003","5","28",44.93333,-66.84999,1,"Chl_a",1.4229,2003-05-28
"241259","P5","2003","6","13",44.93333,-66.84999,1,"Chl_a",2.4945,2003-06-13
"241264","P5","2003","6","27",44.93333,-66.84999,1,"Chl_a",6.44413,2003-06-27
"257110","MFD-SETNO031","2003","7","5",44.086,-66.4545,5,"Chl_a",1.19732,2003-07-05
"257090","MFD-SETNO025","2003","7","5",43.8215,-66.93216,5,"Chl_a",1.21467,2003-07-05
"257094","MFD-SETNO026","2003","7","5",43.84983,-66.9805,5,"Chl_a",2.30788,2003-07-05
"257098","MFD-SETNO027","2003","7","5",43.93133,-66.94116,5,"Chl_a",0.78086,2003-07-05
"257102","MFD-SETNO028","2003","7","5",43.92916,-66.50116,5,"Chl_a",0.51258,2003-07-05
"257106","MFD-SETNO030","2003","7","5",43.962,-66.37133,5,"Chl_a",1.26673,2003-07-05
"257114","MFD-SETNO032","2003","7","6",44.11966,-66.58466,5,"Chl_a",1.71789,2003-07-06
"257118","MFD-SETNO033","2003","7","6",44.32966,-66.652,5,"Chl_a",3.58584,2003-07-06
"257122","MFD-SETNO034","2003","7","6",44.29733,-66.6045,5,"Chl_a",1.56172,2003-07-06
"257126","MFD-SETNO035","2003","7","6",44.43783,-66.442,5,"Chl_a",5.45672,2003-07-06
"257130","MFD-SETNO036","2003","7","6",44.467,-66.54366,5,"Chl_a",5.56066,2003-07-06
"257134","MFD-SETNO037","2003","7","6",44.52233,-66.33033,5,"Chl_a",6.652,2003-07-06
"257138","MFD-SETNO038","2003","7","6",44.6055,-66.33483,5,"Chl_a",4.62522,2003-07-06
"257142","MFD-SETNO039","2003","7","6",44.83283,-65.78616,5,"Chl_a",1.70054,2003-07-06
"257146","MFD-SETNO040","2003","7","6",44.99733,-65.24866,5,"Chl_a",1.63113,2003-07-06
"257150","MFD-SETNO042","2003","7","6",45.04566,-65.29116,5,"Chl_a",2.09965,2003-07-06
"257154","MFD-SETNO043","2003","7","6",45.26083,-65.08933,5,"Chl_a",1.11056,2003-07-06
"257158","MFD-SETNO044","2003","7","7",45.21383,-65.64233,5,"Chl_a",1.31879,2003-07-07
"257162","MFD-SETNO045","2003","7","7",45.12433,-65.65283,5,"Chl_a",1.33614,2003-07-07
"257166","MFD-SETNO047","2003","7","7",45.1875,-65.8015,5,"Chl_a",1.07585,2003-07-07
"257170","MFD-SETNO048","2003","7","7",45.12833,-66.111,5,"Chl_a",1.12791,2003-07-07
"257173","MFD-SETNO049","2003","7","7",45.07533,-66.3545,5,"Chl_a",1.57907,2003-07-07
"257176","MFD-SETNO050","2003","7","7",45.01866,-66.52816,5,"Chl_a",5.71656,2003-07-07
"257180","MFD-SETNO051","2003","7","7",44.968,-66.763,5,"Chl_a",2.74169,2003-07-07
"257184","MFD-SETNO052","2003","7","7",44.82916,-66.81316,5,"Chl_a",2.8111,2003-07-07
"257188","MFD-SETNO053","2003","7","7",44.79166,-66.8325,5,"Chl_a",1.66584,2003-07-07
"257192","MFD-SETNO054","2003","7","7",44.165,-67.03116,5,"Chl_a",2.13072,2003-07-07
"257196","MFD-SETNO055","2003","7","8",44.13716,-67.09316,5,"Chl_a",1.90877,2003-07-08
"257200","MFD-SETNO056","2003","7","8",44.14733,-67.2335,5,"Chl_a",2.79375,2003-07-08
"257204","MFD-SETNO057","2003","7","8",43.7095,-67.21616,5,"Chl_a",0.39054,2003-07-08
"241269","P5","2003","7","14",44.93333,-66.84999,1,"Chl_a",2.91025,2003-07-14
"241274","P5","2003","8","14",44.93333,-66.84999,1,"Chl_a",3.17009,2003-08-14
"241279","P5","2003","10","1",44.93333,-66.84999,1,"Chl_a",1.3882,2003-10-01
"241284","P5","2003","10","14",44.93333,-66.84999,1,"Chl_a",4.41734,2003-10-14
"241289","P5","2003","11","18",44.93333,-66.84999,1,"Chl_a",0.62469,2003-11-18
"241294","P5","2003","12","19",44.93333,-66.84999,1,"Chl_a",0.47516,2003-12-19
"240701","P5","2004","1","13",44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",0.312,2004-01-13
"240706","P5","2004","2","17",44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",0.312,2004-02-17
"240711","P5","2004","3","12",44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",0.508,2004-03-12
"240716","P5","2004","4","15",44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",3.742,2004-04-15
"240721","P5","2004","5","14",44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",1.099,2004-05-14
"240726","P5","2004","6","14",44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",1.249,2004-06-14
"263973","MFD-SETNO052","2004","7","12",43.83148,-66.28713,5,"Chl_a",1.406,2004-07-12
"263977","MFD-SETNO053","2004","7","12",43.93571,-66.46311,5,"Chl_a",0.885,2004-07-12
"263985","MFD-SETNO056","2004","7","13",44.07025,-66.53098,5,"Chl_a",3.586,2004-07-13
"263993","MFD-SETNO060","2004","7","13",44.68716,-65.97011,5,"Chl_a",0.833,2004-07-13
"263997","MFD-SETNO061","2004","7","13",44.8613,-65.8537,5,"Chl_a",0.607,2004-07-13
"263704","MFD-SETNO062","2004","7","13",44.91538,-65.44981,5,"Chl_a",0.521,2004-07-13
"263708","MFD-SETNO063","2004","7","13",44.98866,-65.35781,5,"Chl_a",0.521,2004-07-13
"263981","MFD-SETNO054","2004","7","13",43.86331,-66.64911,5,"Chl_a",5.249,2004-07-13
"263712","MFD-SETNO064","2004","7","14",45.031,-65.56901,5,"Chl_a",0.268,2004-07-14
"263715","MFD-SETNO065","2004","7","14",45.22386,-65.2592,5,"Chl_a",0.85,2004-07-14
"263719","MFD-SETNO066","2004","7","14",45.17155,-65.55011,5,"Chl_a",0.538,2004-07-14
"263723","MFD-SETNO067","2004","7","14",45.07623,-66.07363,5,"Chl_a",0.434,2004-07-14
