COLLECTOR_SAMPLE_ID,COLLECTOR_STATION_NAME,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,START_DEPTH,METHOD,DATA_VALUE,Date,median,mean,geomean,validn,sd,filtmean,cv
NA,PUG-1,2006,8,22,45.9392,-63.6879,NA,NUS,1.56,8/22/2006,0.210465923,0.210465923,0.209575221,2,0.027354401,0.210465923,0.129970687
NA,PUG-2,2006,8,22,46.0382,-63.5865,NA,NUS,1.58,8/22/2006,0.526814342,0.530586429,0.527712293,16,0.057371604,0.52941721,0.083807472
NA,CJ-1,2006,8,22,45.8284,-63.114,NA,NUS,1.26,8/22/2006,0.743079066,0.740598624,0.735911845,11,0.086259694,0.756313354,0.060947721
NA,CJ-2,2006,8,22,45.8572,-63.1173,NA,NUS,1.7,8/22/2006,0.377163127,0.382000236,0.38002676,24,0.039945509,0.378166277,0.088258659
NA,CJ-3,2006,8,22,45.8949,-63.1481,NA,NUS,0.74,8/22/2006,0.361802489,0.35984442,0.359362951,25,0.018909248,0.361335993,0.042080583
NA,VIC-1,2006,9,19,46.1558,-63.5385,NA,NUS,2.08,9/19/2006,1.168908954,1.165967524,1.165295248,8,0.042193063,1.175470829,0.029885016
NA,PUG-1,2006,9,19,45.9392,-63.6879,NA,NUS,1.94,9/19/2006,0.976467252,0.977454412,0.97658404,15,0.042895155,0.970869015,0.028880838
NA,PUG-2,2006,9,19,46.0382,-63.5865,NA,NUS,1.9,9/19/2006,1.383596063,1.381604165,1.381254804,24,0.031709385,1.379502217,0.01896731
NA,CJ-2,2006,9,19,45.8572,-63.1173,NA,NUS,1.66,9/19/2006,0.5017775,0.520747443,0.515791271,18,0.074732956,0.512691035,0.133615944
NA,CJ-3,2006,9,19,45.8949,-63.1481,NA,NUS,1.36,9/19/2006,0.707790136,0.702642341,0.70075689,21,0.052714293,0.70203284,0.060093338
NA,CT-1,2006,9,19,46.1723,-63.7826,NA,NUS,1.96,9/19/2006,2.761047363,2.764994273,2.764904233,13,0.023191252,2.769125144,0.006704955
NA,CT-2,2006,9,19,46.1845,-63.7564,NA,NUS,1.64,9/19/2006,1.828490376,1.857455182,1.846706486,20,0.209019076,1.790560512,0.078144908
NA,HB-1,2006,9,19,46.049,-63.1399,NA,NUS,1.68,9/19/2006,0.889936239,0.893225508,0.893035866,18,0.018974058,0.892782904,0.017731177
NA,HB-2,2006,9,19,45.9784,-63.1429,NA,NUS,1.4,9/19/2006,0.965078533,0.963403542,0.962695281,19,0.037883478,0.966599511,0.03750304
NA,VIC-1,2006,10,3,46.1558,-63.5385,NA,NUS,12.3,10/3/2006,10.97440624,11.00133843,10.90730028,18,1.486779725,10.82303486,0.10532992
NA,VIC-2,2006,10,3,46.1765,-63.6027,NA,NUS,5.66,10/3/2006,7.214115858,7.219149351,7.17544827,8,0.858895874,7.001752308,0.092508732
NA,CT-2,2006,10,3,46.1845,-63.7564,NA,NUS,2.9,10/3/2006,3.552890301,3.564056305,3.533878622,13,0.482919001,3.554812323,0.099351518
NA,VIC-1,2006,10,17,46.1558,-63.5385,NA,NUS,2.583333333,10/17/2006,2.475947738,2.447470903,2.434435342,4,0.287251338,2.447470903,0.1173666
NA,VIC-2,2006,10,17,46.1765,-63.6027,NA,NUS,1.72,10/17/2006,1.502634406,1.735888402,1.693683559,3,0.489221426,1.735888402,0.281827694
NA,PUG-1,2006,10,17,45.9392,-63.6879,NA,NUS,1.435897436,10/17/2006,1.060726404,1.048962196,1.047735354,3,0.061765571,1.048962196,0.058882552
NA,PUG-2,2006,10,17,46.0382,-63.5865,NA,NUS,1.3,10/17/2006,1.338604331,1.340405778,1.338919405,19,0.065156306,1.338204692,0.038777477
NA,CJ-1,2006,10,17,45.8284,-63.114,NA,NUS,1.631578947,10/17/2006,1.446817577,1.398222228,1.392478383,6,0.131752422,1.451145458,0.018125888
NA,CJ-2,2006,10,17,45.8572,-63.1173,NA,NUS,1.625,10/17/2006,1.347718596,1.348478325,1.347201213,15,0.060709756,1.348243961,0.032843278
NA,CJ-3,2006,10,17,45.8949,-63.1481,NA,NUS,1.513513514,10/17/2006,1.04022944,1.050967378,1.049907602,7,0.050884556,1.064522942,0.037145136
NA,CT-1,2006,10,16,46.1723,-63.7826,NA,NUS,2.6875,10/16/2006,8.701931,8.786353319,8.447004126,23,2.556474661,8.445986795,0.215240094
NA,CT-2,2006,10,16,46.1845,-63.7564,NA,NUS,2.361702128,10/16/2006,2.157868385,2.161771153,2.134615524,24,0.347480464,2.182383895,0.126513061
NA,HB-1,2006,10,17,46.049,-63.1399,NA,NUS,1.967871486,10/17/2006,1.274823904,1.273457185,1.27322056,15,0.025391637,1.273247104,0.016468025
NA,HB-2,2006,10,17,45.9784,-63.1429,NA,NUS,1.88,10/17/2006,1.263435125,1.261030224,1.260730094,9,0.02916708,1.266566545,0.02023715
NA,PUG-1,2006,10,31,45.9392,-63.6879,NA,NUS,4.535211268,10/31/2006,4.159160137,4.160872579,4.160870895,4,0.004322902,4.160872579,0.001038941
NA,PUG-2,2006,10,31,46.0382,-63.5865,NA,NUS,10.27027027,10/31/2006,9.204457283,9.315356081,9.304692432,11,0.470193576,9.222651196,0.040658084
