x
Granule UR,Producer Granule ID,Start Time,End Time,Online Access URLs,Browse URLs,Cloud Cover,Day/Night,Size
2018_A2013001164000.L2_LAC_OC.nc,A2013001164000.L2_LAC_OC.nc,2013-01-01T16:40:08.000Z,2013-01-01T16:45:08.000Z,https://oceandata.sci.gsfc.nasa.gov/cmr/getfile/A2013001164000.L2_LAC_OC.nc,,,DAY,32.810851
2018_A2013001182000.L2_LAC_OC.nc,A2013001182000.L2_LAC_OC.nc,2013-01-01T18:20:08.000Z,2013-01-01T18:25:08.000Z,https://oceandata.sci.gsfc.nasa.gov/cmr/getfile/A2013001182000.L2_LAC_OC.nc,,,DAY,26.974346
2018_A2013002172500.L2_LAC_OC.nc,A2013002172500.L2_LAC_OC.nc,2013-01-02T17:25:09.000Z,2013-01-02T17:30:07.000Z,https://oceandata.sci.gsfc.nasa.gov/cmr/getfile/A2013002172500.L2_LAC_OC.nc,,,DAY,28.352511
2018_A2013003162500.L2_LAC_OC.nc,A2013003162500.L2_LAC_OC.nc,2013-01-03T16:25:09.000Z,2013-01-03T16:30:07.000Z,https://oceandata.sci.gsfc.nasa.gov/cmr/getfile/A2013003162500.L2_LAC_OC.nc,,,DAY,40.316772
2018_A2013003163000.L2_LAC_OC.nc,A2013003163000.L2_LAC_OC.nc,2013-01-03T16:30:08.000Z,2013-01-03T16:35:07.000Z,https://oceandata.sci.gsfc.nasa.gov/cmr/getfile/A2013003163000.L2_LAC_OC.nc,,,DAY,33.490302
2018_A2013003180500.L2_LAC_OC.nc,A2013003180500.L2_LAC_OC.nc,2013-01-03T18:05:09.000Z,2013-01-03T18:10:07.000Z,https://oceandata.sci.gsfc.nasa.gov/cmr/getfile/A2013003180500.L2_LAC_OC.nc,,,DAY,33.651108
2018_A2013003181000.L2_LAC_OC.nc,A2013003181000.L2_LAC_OC.nc,2013-01-03T18:10:08.000Z,2013-01-03T18:15:07.000Z,https://oceandata.sci.gsfc.nasa.gov/cmr/getfile/A2013003181000.L2_LAC_OC.nc,,,BOTH,25.027742
2018_A2013004153500.L2_LAC_OC.nc,A2013004153500.L2_LAC_OC.nc,2013-01-04T15:35:09.000Z,2013-01-04T15:40:08.000Z,https://oceandata.sci.gsfc.nasa.gov/cmr/getfile/A2013004153500.L2_LAC_OC.nc,,,DAY,38.678551
2018_A2013004171000.L2_LAC_OC.nc,A2013004171000.L2_LAC_OC.nc,2013-01-04T17:10:08.000Z,2013-01-04T17:15:08.000Z,https://oceandata.sci.gsfc.nasa.gov/cmr/getfile/A2013004171000.L2_LAC_OC.nc,,,DAY,38.481642
2018_A2013004171500.L2_LAC_OC.nc,A2013004171500.L2_LAC_OC.nc,2013-01-04T17:15:09.000Z,2013-01-04T17:20:08.000Z,https://oceandata.sci.gsfc.nasa.gov/cmr/getfile/A2013004171500.L2_LAC_OC.nc,,,BOTH,25.535277
2018_A2013005161500.L2_LAC_OC.nc,A2013005161500.L2_LAC_OC.nc,2013-01-05T16:15:09.000Z,2013-01-05T16:20:07.000Z,https://oceandata.sci.gsfc.nasa.gov/cmr/getfile/A2013005161500.L2_LAC_OC.nc,,,DAY,50.053598
2018_A2013005175500.L2_LAC_OC.nc,A2013005175500.L2_LAC_OC.nc,2013-01-05T17:55:09.000Z,2013-01-05T18:00:07.000Z,https://oceandata.sci.gsfc.nasa.gov/cmr/getfile/A2013005175500.L2_LAC_OC.nc,,,DAY,32.553686
2018_A2013006170000.L2_LAC_OC.nc,A2013006170000.L2_LAC_OC.nc,2013-01-06T17:00:08.000Z,2013-01-06T17:05:07.000Z,https://oceandata.sci.gsfc.nasa.gov/cmr/getfile/A2013006170000.L2_LAC_OC.nc,,,DAY,28.35292
2018_A2013006183500.L2_LAC_OC.nc,A2013006183500.L2_LAC_OC.nc,2013-01-06T18:35:09.000Z,2013-01-06T18:40:07.000Z,https://oceandata.sci.gsfc.nasa.gov/cmr/getfile/A2013006183500.L2_LAC_OC.nc,,,DAY,35.950295
2018_A2013007160500.L2_LAC_OC.nc,A2013007160500.L2_LAC_OC.nc,2013-01-07T16:05:09.000Z,2013-01-07T16:10:08.000Z,https://oceandata.sci.gsfc.nasa.gov/cmr/getfile/A2013007160500.L2_LAC_OC.nc,,,DAY,33.33113
